"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MELK|9833",-1.50383789136817,7.80668440574571,-8.16872031295462,1.35111872068706e-15,2.73533985003095e-11,24.7386407713661
"LOC55908|55908",1.5230505252164,1.28933285671442,7.96739248214292,6.14570263792127e-15,6.22098749523581e-11,23.2807936123014
"CDC45|8318",-1.38234818175667,6.76319804712579,-7.89621414897365,1.04224700716284e-14,7.03343022000391e-11,22.772665336039
"EPR1|8475",-1.52670918082188,7.81582062706562,-7.82234667696548,1.79581741515879e-14,7.30966444236476e-11,22.2493945371118
"SLC22A12|116085",0.970613243218992,0.464470471361642,7.81574596891874,1.88490157244139e-14,7.30966444236476e-11,22.202837356834
"NDC80|10403",-1.26959957089859,7.55219696962715,-7.79674632956791,2.16636140549215e-14,7.30966444236476e-11,22.06901110016
"NEK2|4751",-1.58980093039567,8.21883841243616,-7.7481828686673,3.08798799068614e-14,8.93090241020583e-11,21.7281988873666
"ADH4|127",1.28904347984879,1.03910152591363,7.62939401765758,7.29301687378238e-14,1.72201261842905e-10,20.9021596636383
"SGK2|10110",1.61244898775121,3.60711087043303,7.61358392995053,8.17005331033944e-14,1.72201261842905e-10,20.7930360851018
"CDC20|991",-1.26179147375903,8.61893124776788,-7.60796938313338,8.50586623081771e-14,1.72201261842905e-10,20.7543299828562
"EXO1|9156",-1.33926757006683,7.31236827596534,-7.53915272234422,1.39082364976611e-13,2.42139708809088e-10,20.2818918120372
"DLGAP5|9787",-1.35321775047324,7.7532601388075,-7.50872680465387,1.72655483481216e-13,2.42139708809088e-10,20.0741805134553
"NEIL3|55247",-1.29857382962669,5.34361092075098,-7.50832914538149,1.73143287718988e-13,2.42139708809088e-10,20.0714705281641
"BUB1|699",-1.2672104632366,8.33391364497322,-7.50653997481884,1.75354882252711e-13,2.42139708809088e-10,20.0592791300272
"KIF4A|24137",-1.48507779243875,8.33301782036935,-7.50331868832664,1.79407045301868e-13,2.42139708809088e-10,20.0373355620841
"KIF20A|10112",-1.3763149815261,8.50683666728134,-7.48113792338705,2.0992358932029e-13,2.50306818545892e-10,19.8864577149
"BIRC5|332",-1.42090860240814,7.85568017138139,-7.48096129897889,2.10186017055084e-13,2.50306818545892e-10,19.8852578148156
"TPX2|22974",-1.19755658307623,9.95574346263356,-7.45198817258971,2.57907394597077e-13,2.75616372091104e-10,19.6887567928352
"HHATL|57467",1.00321903985825,0.684639621461439,7.45027409612018,2.61042908164201e-13,2.75616372091104e-10,19.6771520717234
"CEP55|55165",-1.21893580049009,8.1325843112384,-7.44429286339389,2.7228093069015e-13,2.75616372091104e-10,19.6366755635118
"DEPDC1|55635",-1.2268981184906,7.40279828720333,-7.43359546440166,2.93579595328588e-13,2.83024709877489e-10,19.5643530404208
"CDC25C|995",-1.3539926968291,6.05388388175026,-7.40992318242408,3.46711656556682e-13,3.07807090274314e-10,19.4046275286495
"KIF14|9928",-1.3716727611456,7.09392471311796,-7.40775388788101,3.52029540316348e-13,3.07807090274314e-10,19.3900123691787
"MKI67|4288",-1.23362418086017,10.4478280096177,-7.39989370483773,3.7197919328298e-13,3.07807090274314e-10,19.3370868258991
"NCAPG|64151",-1.11185813419913,8.31680949387707,-7.3933780739732,3.89356262180604e-13,3.07807090274314e-10,19.2932512189691
