"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADH4|127",1.01380803308192,1.03595780682628,7.72707029313183,2.48413775934097e-14,2.60119081123507e-10,21.8399652538859
"AQP7P3|441432",0.948416284661234,0.920795172812988,7.72252008069098,2.56971184118061e-14,2.60119081123507e-10,21.8076832471304
"LOC729467|729467",0.539019978710909,0.34915844938122,7.59873258901981,6.41433237366546e-14,4.32860529682857e-10,20.9359851944688
"APOB|338",1.46207566507626,2.25936937590233,7.48063061891481,1.51696363434935e-13,7.67773219435066e-10,20.1161015485802
"HSD17B13|345275",1.22298058583132,2.24320093300228,7.07804050632827,2.6112172313157e-12,1.05728185695973e-08,17.4084581508722
"LOC55908|55908",1.03208568363483,1.37145168259206,7.04875646902894,3.19451506731423e-12,1.07788262562961e-08,17.2168074737242
"GYS2|2998",0.860693170862123,0.975441568787605,6.87266257749244,1.05735576969094e-11,2.71884453331553e-08,16.0796348049998
"LYVE1|10894",1.27630215058224,5.61229930118009,6.81384228155624,1.56775846060773e-11,3.30432582432337e-08,15.7056459446621
"C12orf39|80763",1.179525567753,1.23925962098414,6.80127879995336,1.70470017477426e-11,3.30432582432337e-08,15.6261467844752
"LHCGR|3973",0.762298612360134,0.699038372242297,6.79349265141334,1.79538572820731e-11,3.30432582432337e-08,15.5769450808252
"KLB|152831",1.15295637178859,4.84227374779469,6.7628756763231,2.20014575539719e-11,3.71182923483468e-08,15.3839733144981
"SLC22A12|116085",0.619506133259064,0.446190831468172,6.72324862384894,2.85895438459494e-11,4.13425225115175e-08,15.135400231502
"HSPB6|126393",1.31131964769163,7.80377101523306,6.67898877032978,3.82442389058709e-11,4.83909135405847e-08,14.8593521870748
"LOC572558|572558",0.745912826638819,0.933328258835714,6.64371105964818,4.81675610412055e-11,5.15063000409531e-08,14.6405258174032
"EPB42|2038",0.932532270024959,1.06478738778789,6.64013827401519,4.9303219550958e-11,5.15063000409531e-08,14.6184233899826
"NEK2|4751",-1.07355740012311,8.20573193435468,-6.63530015284491,5.08829834931619e-11,5.15063000409531e-08,14.5885106140091
"NAALAD2|10003",0.811185962936732,3.83262870684294,6.60759627542243,6.09306702642784e-11,5.60700645227417e-08,14.4176115440981
"LEPR|3953",0.895200369972962,7.62581822311645,6.56523034955272,8.01605940980898e-11,7.05587490224273e-08,14.1575390776909
"WDR62|284403",-0.82774591239165,7.28457939415619,-6.51245796661173,1.12564346952088e-10,9.49527168352094e-08,13.835741454323
"ABCB5|340273",1.14899412335021,2.43635980585682,6.47132892093386,1.46413775017038e-10,1.18565875008797e-07,13.5866051789917
"GLYAT|10249",1.44223953531207,2.16883120819746,6.46201020571649,1.55368671346137e-10,1.20978413515483e-07,13.530360298159
"C7orf41|222166",0.682355112527821,9.76870644801664,6.44807723894693,1.6976560368268e-10,1.21723495531645e-07,13.4464049324639
"GPR146|115330",0.705563540156584,6.63803893578897,6.44520682220162,1.72889801132723e-10,1.21723495531645e-07,13.4291295746513
"BMP8A|353500",-0.725656834609204,7.56597231448432,-6.44387074737881,1.74363120297244e-10,1.21723495531645e-07,13.4210909475351
"SLC2A4|6517",1.12042027013869,4.4900528647256,6.42347614948395,1.98437917265752e-10,1.33912521168172e-07,13.2985761033025
"FIGF|2277",1.44788907227729,3.63225417139493,6.40910432727499,2.17326386203888e-10,1.41853967958899e-07,13.2124571493269
"GPAM|57678",0.848102249331729,9.13216675864529,6.40416206164719,2.24219657924662e-10,1.41853967958899e-07,13.1828833004911
"KCNIP2|30819",1.30530473949927,5.57198021097148,6.39355033277715,2.39750913980677e-10,1.4708355313754e-07,13.1194554801994
"C2CD2|25966",0.545439560564588,9.47432052840214,6.38853841125064,2.47447485036086e-10,1.47340421604575e-07,13.0895323569921
"TMC2|117532",0.635953916806447,1.47012213786856,6.36807139036421,2.81464422260274e-10,1.62807063675979e-07,12.9675617854081
"CA4|762",1.49023158075325,2.16779063585124,6.32594801063007,3.66484323625542e-10,2.06096531438864e-07,12.7176740190457
"COL10A1|1300",-1.56035793715034,9.79416484338631,-6.30256878099662,4.24021283431611e-10,2.32008402245215e-07,12.5796453031172
"MMP11|4320",-1.33705305831296,11.6861763120513,-6.27057541056449,5.17271423861629e-10,2.75583157265228e-07,12.3915279293731
"CLEC4M|10332",0.508193021806673,0.586362329181891,6.25702118588666,5.625691064906e-10,2.92031065664159e-07,12.3120986258296
"GPX3|2878",0.987095232322521,10.1323700037386,6.24917832821152,5.90526318773161e-10,2.98880133089066e-07,12.2662114777167
"PYGM|5837",0.907947591767432,3.68975904569254,6.24017109727484,6.24310888119406e-10,3.08272534877497e-07,12.2135777398072
"COL11A1|1301",-1.64978344398602,9.9467555074338,-6.20853774275661,7.58598478495582e-10,3.65662528503406e-07,12.0292872261588
"MELK|9833",-0.986366144618485,7.7507631003339,-6.20280694098038,7.85777580470404e-10,3.69955049223798e-07,11.9959937008515
"LOC283392|283392",1.30568858772191,2.21031409030828,6.18045891583594,9.01148662495908e-10,4.05848530682888e-07,11.866434319725
"AQPEP|206338",1.12183860302659,2.99593762349385,6.18028499972375,9.02108366546305e-10,4.05848530682888e-07,11.8654277723248
"C4orf49|84709",0.692920111936803,2.79819324496684,6.17661001947545,9.22622617078438e-10,4.06054236581586e-07,11.8441648183093
"MMD|23531",0.660808619553509,8.48761087739336,6.16378835885244,9.97824838088757e-10,4.29807741427806e-07,11.770072519912
"BTNL9|153579",1.09870367215717,6.54696858580824,6.13365838690896,1.19888124690347e-09,4.95333690684912e-07,11.5965251072749
"GLRA4|441509",0.637646040418449,0.746452649789408,6.13023372923786,1.22409652605403e-09,4.95636683399279e-07,11.5768493357881
"CPA1|1357",0.829845744144273,1.14474573953966,6.12230789146738,1.28445536797613e-09,5.0987841028778e-07,11.5313520757304
"CLEC4G|339390",0.817720150964121,1.35011099799632,6.11011879599967,1.38299105137712e-09,5.28276487455281e-07,11.4614891412544
"VWCE|220001",0.711041281424923,3.32505571176697,6.1046660642436,1.42942359220423e-09,5.3590149304027e-07,11.4302782999677
"KCNA4|3739",0.581376451382273,0.610656161370645,6.08413738619037,1.61827714450402e-09,5.91756964824449e-07,11.3130073494067
"DLGAP5|9787",-0.923073146014297,7.65055463447504,-6.08224464622449,1.63686787009973e-09,5.91756964824449e-07,11.3022135333117
"ACVR1C|130399",1.21389942888227,4.8691107889483,6.07907968253657,1.66842116011775e-09,5.92582217308488e-07,11.2841715438851
"CDC25C|995",-0.904059922544329,6.07703795522485,-6.07395558265002,1.7207686753647e-09,6.00637272978593e-07,11.2549799932108
"SGK2|10110",1.00271552920102,3.71543527884536,6.06375533879841,1.82978754477534e-09,6.22180181089886e-07,11.1969384301839
"CRHBP|1393",0.847617885610654,2.90157124381354,6.0507639282709,1.97843328552805e-09,6.56612817467466e-07,11.1231462970205
"LOC90586|90586",0.561399480716062,1.32157088754002,6.04744745984307,2.01822887308062e-09,6.59016831218018e-07,11.1043321809589
"PCK1|5105",1.6184318796103,3.79428181925615,6.04199421382085,2.085368317472e-09,6.64390926891242e-07,11.0734171864526
"C2orf84|653140",0.614014886192236,1.78331009870352,6.02663030888718,2.28645850122944e-09,7.12143882421384e-07,10.986457666819
"ADH1A|124",1.25331418965248,2.34339933813461,6.01200353532438,2.49540924045504e-09,7.65447879894126e-07,10.9038623779054
"VIP|7432",0.538992859369857,1.3052550588926,6.00417280012131,2.61481311963526e-09,7.90102859806206e-07,10.8597203761537
"PPP1R12B|4660",0.53349460486771,9.92685394337758,5.99914563295027,2.69438552183449e-09,8.02174042493225e-07,10.8314104639717
"TFPI|7035",0.72171156662407,8.26809595477981,5.97902550893627,3.03716835926135e-09,8.91122803380378e-07,10.7183280953713
"ALDH1L1|10840",1.41877983707871,4.2946396727243,5.97357046380778,3.13720621758132e-09,9.07324855356198e-07,10.6877299468176
"MRAP|56246",1.42738533356224,2.27739850150807,5.96747426753281,3.25280456833052e-09,9.19560333272341e-07,10.6535663768569
"CST1|1469",-1.83224797103755,5.93155380912524,-5.96656722639395,3.27035534678234e-09,9.19560333272341e-07,10.6484860328189
"AQP7P1|375719",1.20766604016643,2.48472123075829,5.93824742511443,3.86724548249792e-09,1.07249842182425e-06,10.4902298868741
"TMEM37|140738",0.731336259063626,7.29871147040118,5.93242922821677,4.00240981011497e-09,1.09498360278078e-06,10.4578039625027
"DGAT2|84649",0.983013956495637,9.09511600648725,5.92237992957546,4.24678975920915e-09,1.13148525706868e-06,10.401867344525
"MLXIPL|51085",1.12689255404805,4.88269211015038,5.92234712866653,4.24761074523188e-09,1.13148525706868e-06,10.4016849127095
